Time,G8,G9,GA,GB,B1,B2,B3,lat,lon,gpsacc,imei,time
0,-97,-96,-100,-98,-91,0,0,10.8829473,-1.0788135,2717,8.62308E+14,735926.4811
0,-83,-97,-95,-99,-88,0,0,10.8829473,-1.0788135,2717,8.62308E+14,735926.4812
0,-83,-99,-93,-100,-93,0,0,10.8835742,-1.0785605,2717,8.62308E+14,735926.4813
0,-82,-95,-93,-99,-93,0,0,10.8809407,-1.0875968,28,8.62308E+14,735926.4814
0,-82,-96,-93,-101,-93,0,0,10.8809484,-1.087686,19,8.62308E+14,735926.4815
0,-82,-94,-93,-96,-89,0,0,10.8809697,-1.0877068,22,8.62308E+14,735926.4817
0,-82,-96,-93,-98,-89,0,0,10.8809709,-1.087707,96,8.62308E+14,735926.4818
0,-82,-96,-100,-100,-97,0,0,10.8809701,-1.0877066,23,8.62308E+14,735926.4819
0,-83,-96,-99,-96,-92,0,0,10.8809689,-1.0877054,26,8.62308E+14,735926.482
0,-83,-100,-100,-99,-88,0,0,10.8809664,-1.0877032,96,8.62308E+14,735926.4821
0,-83,-98,-93,-99,-88,0,0,10.8809686,-1.0877048,12,8.62308E+14,735926.4822
0,-83,-96,-92,-97,-88,0,0,10.8809676,-1.0877042,13,8.62308E+14,735926.4824
0,-82,-95,-99,-97,-96,0,0,10.8809679,-1.087704,17,8.62308E+14,735926.4825
0,-81,-97,-94,-97,-94,0,0,10.8809665,-1.0877033,12,8.62308E+14,735926.4826
0,-81,-95,-102,-100,-97,0,0,10.8809689,-1.0877051,9,8.62308E+14,735926.4827
0,-81,-97,-94,-98,-93,0,0,10.8809074,-1.0876525,14,8.62308E+14,735926.4828
0,-100,-96,-97,-100,-93,0,0,10.8808941,-1.0876411,14,8.62308E+14,735926.4829
0,-100,-96,-93,-98,-92,0,0,10.8808709,-1.0876361,19,8.62308E+14,735926.4831
0,-82,-100,-94,-99,-91,0,0,10.8808716,-1.0876453,12,8.62308E+14,735926.4832
0,-83,-98,-95,-97,-91,0,0,10.8808754,-1.0876445,96,8.62308E+14,735926.4833
0,-83,-95,-101,-98,-95,0,0,10.8808826,-1.0876594,16,8.62308E+14,735926.4834
0,-82,-97,-96,-99,-90,0,0,10.8808744,-1.0876609,10,8.62308E+14,735926.4835
0,-84,-97,-95,-98,-88,0,0,10.8808889,-1.0876731,8,8.62308E+14,735926.4836
0,-83,-96,-94,-96,-89,0,0,10.8808949,-1.087669,19,8.62308E+14,735926.4838
0,-82,-94,-95,-99,-94,0,0,10.8808921,-1.0876695,96,8.62308E+14,735926.4839
0,-82,-96,-95,-98,-88,0,0,10.8808945,-1.0876643,13,8.62308E+14,735926.484
0,-83,-94,-94,-98,-90,0,0,10.8808918,-1.0876592,18,8.62308E+14,735926.4841
0,-82,-95,-99,-98,-90,0,0,10.8808998,-1.0876661,19,8.62308E+14,735926.4842
0,-83,-94,-100,-96,-89,0,0,10.8809029,-1.087668,17,8.62308E+14,735926.4843
0,-81,-96,-94,-98,-89,0,0,10.8809038,-1.0876695,18,8.62308E+14,735926.4844
0,-82,-96,-94,-98,-90,0,0,10.8809048,-1.0876704,10,8.62308E+14,735926.4846
0,-82,-94,-94,-99,-89,0,0,10.8809188,-1.0876805,13,8.62308E+14,735926.4847
0,-82,-95,-94,-100,-89,0,0,10.8809359,-1.0876959,7,8.62308E+14,735926.4848
0,-82,-96,-96,-100,-94,0,0,10.880941,-1.0876985,13,8.62308E+14,735926.4849
0,-85,-92,-97,-96,-93,0,0,10.8809419,-1.087705,96,8.62308E+14,735926.485
0,-100,-100,-95,-100,-99,0,0,10.8809391,-1.0877037,96,8.62308E+14,735926.4851
0,-88,-102,-100,-99,-100,0,0,10.8809457,-1.0877071,8,8.62308E+14,735926.4853
0,-88,0,-93,-99,-100,0,0,10.8809333,-1.0877034,14,8.62308E+14,735926.4854
0,-97,-96,-97,-100,-90,0,0,10.880926,-1.0877027,11,8.62308E+14,735926.4855
0,-87,-95,-98,-99,-96,0,0,10.8809281,-1.0877058,15,8.62308E+14,735926.4856
0,-99,-100,-94,-100,-96,0,0,10.8809281,-1.0877059,96,8.62308E+14,735926.4857
0,-96,-99,-103,-99,-94,0,0,10.8809276,-1.0877042,15,8.62308E+14,735926.4858
0,-95,-99,-99,-98,-92,0,0,10.8809274,-1.0877041,19,8.62308E+14,735926.486
0,-97,-99,-93,-97,-95,0,0,10.8809274,-1.0877041,12,8.62308E+14,735926.4861
0,-89,-97,-96,-97,-100,0,0,10.8809273,-1.0877041,96,8.62308E+14,735926.4862
0,-103,-97,-88,-88,-92,0,0,10.8809273,-1.0877041,13,8.62308E+14,735926.4863
